sku,category_id
51645207,91458
51645265,91458
51613430,91596
51613453,91596
51687883,000000
51716928,89482
51716942,87247
51717025,87892
51613516,91596
51613522,92465
51613568,92465
51688657,76994
51688663,87817
51698392,83436
51698403,83436
51699903,88636
51645378,91458
51650857,91455
51616202,109382
51616219,109463
51616277,109463
51706758,109382
51708301,88108
51656618,92924
51616718,93376
51689915,111081
51689938,111120
51689944,92978
51690279,88495
51717941,86464
51719392,106931
51719432,000000
51620594,109613
51620692,91135
51690901,89014
51690901,87520
51699918,91231
51659669,83436
51659698,92966
51659721,88480
51691474,89350
51692283,87964
51708589,87349
51708595,93193
51622091,107504
51693541,109607
51693604,109601
51624328,107519
51624371,107519
51624388,107747
51694753,93217
51624388,107519
51624411,107747
51624549,91147
51577754,98444
51623873,89344
51623913,93109
51939540,89041
52037177,87247
51940779,109382
51924085,118076
51976506,88000
51976506,86986
51976541,86986
51976604,87997
52037281,93026
52037281,76997
52037298,93026
52037338,76997
51942253,103172
51924309,88495
51924315,88495
51924315,86374
51925527,93382
51925533,93367
51977062,107810
51977079,107810
51944548,92735
51925556,93367
51977269,87652
51979503,91725
51979532,91725
52054225,89041
51946554,89464
51946894,103226
5194814,98330
51928328,118860
51979549,87865
51980702,89041
51980702,93322
51980725,89041
52059888,91587
52059894,91587
52059928,92456
51950462,107774
51931548,109463
51980938,118530
52060465,92456
52063519,98345
51951207,93026
51931623,109382
51931773,109463
52054231,89041
52054248,89041
52054488,92348
52054528,92348
51951271,76997
51952333,88138
51952348,88138
51981914,92324
51991142,92324
